date,ratings
2001-5-30,0.385
2001-6-30,0.429
2001-7-30,0.384
2001-8-28,0.391
2001-9-26,0.424
2001-10-28,0.764
2001-11-31,0.591
2002-0-30,0.616
2002-1-27,0.744
2002-2-29,0.741
2002-3-29,1.178
2002-4-29,1.164
2002-5-29,1.464
2002-6-31,1.36
2002-7-29,1.464
2002-8-29,1.653
2002-9-30,1.78
2002-10-29,2.38
2002-11-31,2.455
2003-0-31,1.986
2003-1-28,1.976
2003-2-31,2.377
2003-3-30,1.884
2003-4-30,1.935
2003-5-30,1.776
2003-6-31,2.001
2003-7-31,2.062
2003-8-30,1.94
2003-9-31,1.899
2003-10-30,1.705
2003-11-31,1.799
2004-0-31,2.177
2004-1-29,2.237
2004-2-31,2.137
2004-3-30,1.877
2004-4-30,1.649
2004-5-30,1.666
2004-6-31,1.633
2004-7-30,1.634
2004-8-30,1.644
2004-9-31,1.504
2004-10-30,1.947
2004-11-31,2.203
2005-0-31,2.363
2005-1-28,2.527
2005-2-31,2.82
2005-3-30,2.767
2005-4-31,2.783
2005-5-30,3.142
2005-6-31,3.485
2005-7-31,3.29
2005-8-30,3.462
2005-11-3,3.31
2006-0-4,3.555
2006-1-2,3.972
2006-2-1,3.146
2006-3-2,3.948
2006-4-1,3.271
2006-5-1,3.238
2006-6-2,3.401
2006-7-2,2.683
2006-8-2,2.992
2006-9-1,3.065
2006-10-2,3.023
2006-11-1,3.171
2007-0-2,3.521
2007-1-3,3.189
2007-2-3,3.365
2007-3-1,3.551
2007-4-5,3.656
2007-5-2,3.483
2007-6-2,3.71
2007-7-5,3.987
2007-8-2,3.583
2007-9-4,3.74
2007-10-4,3.917
2007-11-3,3.994
2008-0-3,4.856
2008-1-7,4.51
2008-5-1,4.058
2008-6-2,4.0
2008-7-3,3.697
2008-8-3,4.334
2008-9-6,3.767
2008-10-2,4.026
2008-11-3,4.578
2009-0-2,5.609
2009-1-1,5.062
2009-2-5,4.321
2009-3-7,4.059
2009-4-1,4.266
2009-5-4,4.536
2009-6-2,4.54
2009-7-1,4.443
2009-8-5,4.186
2009-9-2,4.417
2009-10-2,5.346
2009-11-2,6.258
2010-0-5,5.767
2010-1-7,5.015
2010-2-7,4.264
2010-3-5,4.435
2010-4-15,4.779
2010-6-6,5.73
2010-6-30,4.986
2010-8-11,5.016
2010-9-2,4.963
2010-10-3,5.706
2010-11-7,6.687
2011-0-2,6.226
2011-1-8,6.809
2011-2-8,7.21
2011-3-3,7.185
2011-4-2,7.539
2011-5-5,6.844
2011-5-27,6.844
2011-6-8,6.221
2011-7-3,6.042
2011-8-10,6.819
2011-9-9,6.723
2011-10-7,7.319
2011-11-4,8.205
2012-0-8,8.763
2012-1-5,8.653
2012-2-11,8.244
2012-3-8,7.348
2012-4-9,6.823
2012-5-10,7.026
2012-6-4,6.668
2012-7-10,6.59
2012-8-2,6.596
2012-9-5,6.53
2012-10-4,5.591
2012-11-2,5.547
2013-0-5,6.196
2013-1-8,6.68
2013-2-11,6.597
2013-3-7,6.15
2013-4-8,6.119
2013-5-9,5.783
2013-6-7,6.212
2013-6-12,6.212
2013-7-4,6.117
2013-8-11,5.564
2013-9-10,5.718
2013-10-9,6.024
2013-11-6,5.62
2014-0-1,5.85
2014-1-8,6.45
2014-2-3,5.572
2014-3-10,4.82
2014-4-7,3.745
2014-5-8,3.944
2014-6-6,4.051
2014-7-11,3.409
2014-8-1,4.352
2014-9-3,4.748
2014-10-8,4.985
2014-11-7,4.328
2015-0-6,5.045
2015-1-5,5.738
2015-2-7,4.923
2015-3-13,4.947
2015-4-13,5.264
2015-5-6,5.056
2015-6-12,5.652
2015-7-6,4.837
2015-8-5,4.909
2015-9-4,4.825
2015-10-7,4.318
2015-11-4,4.114
2016-0-2,4.707
2016-1-2,4.4
2016-2-3,4.271
2016-3-7,3.796
2016-4-6,4.481
2016-5-5,3.786
2016-6-4,3.92
2016-7-6,4.907
2016-8-8,5.493
2016-9-7,4.367
2016-10-5,3.659
2016-11-4,3.171
2017-0-7,4.039
2017-1-8,4.902
2017-2-7,4.409
2017-3-9,3.579
2017-4-6,3.457
2017-5-3,3.53
2017-6-7,3.518
